name,ID,father,mother,spouse,lover,issue,allegiance,affiliated
A certain man,A_certain_man,,,,,,,Varys;Tyrion_Lannister;Stannis_Baratheon;Cortnay_Penrose;Renly_Baratheon
Abelar Hightower,Abelar_Hightower,,,,,,House_Hightower,Valarr_Targaryen;Daeron_II_Targaryen;Duncan_the_Tall
Abelon,Abelon,,,,,,Citadel,
Addam of Duskendale,Addam_of_Duskendale,,,,,,,
Addam Frey,Addam_Frey,,,,,,House_Frey,Aerys_I_Targaryen;Lord_Frey;Ambrose_Butterwell;Uthor_Underleaf;Franklyn_Frey;Walder_Frey
Addam Hightower,Addam_Hightower,Manfred_Hightower_(Aegon's_Conquest),,,,Manfred_Hightower_(son_of_Addam);Patrice_Hightower,House_Hightower;House_Tyrell,Manfred_Hightower_(Aegon's_Conquest);Manfred_Hightower_(son_of_Addam);Patrice_Hightower;Aegon_I_Targaryen;Garmon_Hightower;High_Septon_(Aegon_I);Martyn_Hightower;Ceryse_Hightower;Maegor_I_Targaryen;Morgan_Hightower;Lymond_Hightower;Jeremy_Hightower;Jason_Hightower;Dorian_Hightower;Damon_Hightower;Triston_Hightower;Barris_Hightower;Donnel_Hightower;Lord_Hightower;Ormund_Hightower;Lyonel_Hightower;Jon_Hightower;Quenton_Hightower;Leyton_Hightower
Addam Marbrand,Addam_Marbrand,Damon_Marbrand,,,,,House_Marbrand;House_Lannister;City_Watch_of_King's_Landing,Damon_Marbrand;Tywin_Lannister;Jaime_Lannister;Tyrion_Lannister;Catelyn_Stark;Robb_Stark;Brynden_Tully;Flement_Brax;Medger_Cerwyn;Wylis_Manderly;Harrion_Karstark;Halys_Hornwood;Weese;Stannis_Baratheon;Joffrey_Baratheon;Cersei_Lannister;Tyrek_Lannister;High_Septon_(fat_one);Sansa_Stark;Margaery_Tyrell;Podrick_Payne;Vargo_Hoat;Zollo;Rugen;Tommen_Baratheon;Kevan_Lannister;Ilyn_Payne;Ermesande_Hayford;Danwell_Frey;Merrett_Frey;Beric_Dondarrion;Daven_Lannister;Edmure_Tully;Harys_Swyft;Walder_Rivers;Arya_Stark;Alyn_Marbrand;Jeyne_Marbrand;Tytos_Lannister;Tygett_Lannister;Darlessa_Marbrand;Jacelyn_Bywater;Osfryd_Kettleblack;Qarl_Corbray;Robert_Redwyne;Daemon_Targaryen;Luthor_Largent;Perkin_the_Flea;Lucas_Leygood;Adrian_Thorne;Manly_Stokeworth;Janos_Slynt;Humfrey_Waters
Addam Osgrey,Addam_Osgrey,Eustace_Osgrey,,,,,House_Osgrey,Eustace_Osgrey;Daeron_II_Targaryen;Wyman_Webber;Rohanne_Webber;Lucas_Inchfield;Daemon_I_Blackfyre;Harrold_Osgrey;Alysanne_Osgrey;Duncan_the_Tall;Aegon_V_Targaryen;Wolmer;Sefton_Staunton;Edwyn_Osgrey
Addam Rivers,Addam_Rivers,,,,,,,Arlan_III_Durrandon
Addam Velaryon,Addam_Velaryon,,Marilda_of_Hull,,,,House_Velaryon;House_Targaryen;Blacks,Laenor_Velaryon;Corlys_Velaryon;Marilda_of_Hull;Alyn_Velaryon;Gyldayn;Mushroom;Rhaenys_Targaryen_(daughter_of_Aemon);Jacaerys_Velaryon;Rhaenyra_Targaryen;Daemon_Targaryen;Joffrey_Velaryon;Luthor_Largent;Hugh_Hammer;Daeron_Targaryen_(son_of_Viserys_I);Unwin_Peake;Ormund_Hightower;Corwyn_Velaryon;Laena_Velaryon;Vaemond_Velaryon;Malentine_Velaryon;Rhogar_Velaryon;Lucerys_Velaryon;Hazel_Harte;Daeron_Velaryon;Daemion_Velaryon;Daenaera_Velaryon;Aegon_III_Targaryen;Rhaena_Targaryen_(daughter_of_Daemon);Baela_Targaryen;Elaena_Targaryen;Laena_Velaryon_(daughter_of_Alyn);Jon_Waters;Jeyne_Waters
