name,ID,father,mother,spouse,lover,issue,allegiance,affiliated
A certain man,A_certain_man,,,,,,,Tyrion_Lannister;Varys;Stannis_Baratheon;Cortnay_Penrose;Renly_Baratheon
Abelar Hightower,Abelar_Hightower,,,,,,House_Hightower,Valarr_Targaryen
Abelon,Abelon,,,,,,Citadel,
Addam of Duskendale,Addam_of_Duskendale,,,,,,,
Addam Frey,Addam_Frey,,,,,,House_Frey,Ambrose_Butterwell;Uthor_Underleaf
Addam Hightower,Addam_Hightower,Manfred_Hightower_(Aegon's_Conquest),,,,Manfred_Hightower_(son_of_Addam);Patrice_Hightower,House_Hightower;House_Tyrell,Garmon_Hightower;Manfred_Hightower_(Aegon's_Conquest);Manfred_Hightower_(son_of_Addam)
Addam Marbrand,Addam_Marbrand,Damon_Marbrand,,,,,House_Marbrand;House_Lannister;City_Watch_of_King's_Landing,Jaime_Lannister;Tyrion_Lannister;Catelyn_Stark;Tywin_Lannister;Robb_Stark;Brynden_Tully;Flement_Brax;Medger_Cerwyn;Wylis_Manderly;Harrion_Karstark;Halys_Hornwood;Weese;Stannis_Baratheon;Joffrey_Baratheon;Cersei_Lannister;Tyrek_Lannister;High_Septon_(fat_one);Sansa_Stark;Margaery_Tyrell;Podrick_Payne;Vargo_Hoat;Zollo;Rugen;Tommen_Baratheon;Kevan_Lannister;Ilyn_Payne;Ermesande_Hayford;Danwell_Frey;Merrett_Frey;Beric_Dondarrion;Daven_Lannister;Edmure_Tully
Addam Osgrey,Addam_Osgrey,Eustace_Osgrey,,,,,House_Osgrey,Wyman_Webber;Rohanne_Webber;Lucas_Inchfield;Daemon_I_Blackfyre;Harrold_Osgrey;Alysanne_Osgrey;Duncan_the_Tall;Aegon_V_Targaryen;Wolmer
Addam Rivers,Addam_Rivers,,,,,,,
Addam Velaryon,Addam_Velaryon,Laenor_Velaryon;Corlys_Velaryon,Marilda_of_Hull,,,,House_Velaryon;House_Targaryen;Blacks,Gyldayn;Alyn_Velaryon;Laenor_Velaryon;Mushroom;Corlys_Velaryon;Rhaenys_Targaryen_(daughter_of_Aemon);Jacaerys_Velaryon;Rhaenyra_Targaryen;Daemon_Targaryen;Joffrey_Velaryon;Luthor_Largent;Hugh_Hammer;Daeron_Targaryen_(son_of_Viserys_I);Unwin_Peake;Ormund_Hightower;Marilda_of_Hull
Addam Whitehead,Addam_Whitehead,,,,,,House_Whitehead,Arianne_Martell;Jon_Connington;Joss_Hood
Addison Hill,Addison_Hill,,,,,,House_Swyft;Kingsguard,Visenya_Targaryen;Aegon_I_Targaryen;Aenys_I_Targaryen;Maegor_I_Targaryen
Adrack Humble,Adrack_Humble,,,,,,House_Humble;House_Greyjoy,Ramsay_Snow;Theon_Greyjoy;Dagon_Codd
Adrian Redfort,Adrian_Redfort,,,,,,House_Redfort;Queensguard;Blacks,Lorent_Marbrand;Alfred_Broome
Adrian Tarbeck,Adrian_Tarbeck,,,,,,House_Tarbeck;Greens,Jason_Lannister;Tristan_Vance;Joseth_Smallwood;Petyr_Piper;Harry_Penny;Humfrey_Lefford
Adrian Thorne,Adrian_Thorne,,,,,,House_Thorne;City_Watch_of_King's_Landing,Aegon_III_Targaryen;Lucas_Leygood
Aegon Ambrose,Aegon_Ambrose,,,,,,House_Ambrose;Faith_of_the_Seven;Warrior's_Sons,Maegor_I_Targaryen
Aegon Blackfyre,Aegon_Blackfyre,Daemon_I_Blackfyre,Rohanne_of_Tyrosh,,,,House_Blackfyre,Daemon_I_Blackfyre;Rohanne_of_Tyrosh;Aemon_Blackfyre;Daemon_II_Blackfyre;Aenys_Blackfyre;Alyn_Cockshaw;Brynden_Rivers
Aegon Frey,Aegon_Frey_(son_of_Stevron),Stevron_Frey,Jeyne_Lydden,,,,House_Frey,Walder_Frey;Catelyn_Stark;Stevron_Frey;Walder_Frey_(son_of_Jammos);Walder_Frey_(son_of_Merrett);Robb_Stark;Joyeuse_Erenford;Edmure_Tully;Roslin_Frey;Roose_Bolton;Raymund_Frey;Merrett_Frey;Jared_Frey
Aegon Frey,Aegon_Frey_(son_of_Aenys),Aenys_Frey,Tyana_Wylde,,,,House_Frey,
