ID,name,community,primary_house,community_dominant_house,agrees_with_community
A_certain_man,A certain man,0,,House_Martell,False
Abelar_Hightower,Abelar Hightower,14,House_Hightower,House_Targaryen,False
Abelon,Abelon,2,Citadel,House_Stark,False
Addam_Frey,Addam Frey,14,House_Frey,House_Targaryen,False
Addam_Hightower,Addam Hightower,3,House_Hightower,House_Targaryen,False
Addam_Marbrand,Addam Marbrand,13,House_Marbrand,House_Frey,False
Addam_Osgrey,Addam Osgrey,14,House_Osgrey,House_Targaryen,False
Addam_Velaryon,Addam Velaryon,2,House_Velaryon,House_Stark,False
Addam_Whitehead,Addam Whitehead,0,House_Whitehead,House_Martell,False
Addison_Hill,Addison Hill,3,House_Swyft,House_Targaryen,False
Adrack_Humble,Adrack Humble,5,House_Humble,Night's_Watch,False
Adrian_Redfort,Adrian Redfort,2,House_Redfort,House_Stark,False
Adrian_Tarbeck,Adrian Tarbeck,2,House_Tarbeck,House_Stark,False
Adrian_Thorne,Adrian Thorne,2,House_Thorne,House_Stark,False
Aegon_Ambrose,Aegon Ambrose,3,House_Ambrose,House_Targaryen,False
Aegon_Blackfyre,Aegon Blackfyre,14,House_Blackfyre,House_Targaryen,False
Aegon_Frey_(son_of_Stevron),Aegon Frey,13,House_Frey,House_Frey,True
Aegon_I_Targaryen,Aegon I Targaryen,3,House_Targaryen,House_Targaryen,True
Aegon_II_Targaryen,Aegon II Targaryen,2,House_Targaryen,House_Stark,False
Aegon_III_Targaryen,Aegon III Targaryen,2,House_Targaryen,House_Stark,False
Aegon_IV_Targaryen,Aegon IV Targaryen,14,House_Targaryen,House_Targaryen,True
Aegon_V_Targaryen,Aegon V Targaryen,14,House_Targaryen,House_Targaryen,True
Aegon_Targaryen_(son_of_Gaemon),Aegon Targaryen,6,House_Targaryen,House_Targaryen,True
Aegon_Targaryen_(son_of_Aenys_I),Aegon Targaryen,3,House_Targaryen,House_Targaryen,True
Aegon_Targaryen_(son_of_Jaehaerys_I),Aegon Targaryen,3,House_Targaryen,House_Targaryen,True
Aegon_Targaryen_(son_of_Baelon),Aegon Targaryen,3,House_Targaryen,House_Targaryen,True
Aegon_Targaryen_(son_of_Aerys_II),Aegon Targaryen,7,House_Targaryen,House_Targaryen,True
Aegon_Targaryen_(son_of_Rhaegar),Aegon Targaryen,7,House_Targaryen,House_Targaryen,True
Aegor_Rivers,Aegor Rivers,14,House_Bracken,House_Targaryen,False
Aelinor_Penrose,Aelinor Penrose,5,House_Penrose,Night's_Watch,False
Aelor_Targaryen,Aelor Targaryen,14,House_Targaryen,House_Targaryen,True
Aelora_Targaryen,Aelora Targaryen,14,House_Targaryen,House_Targaryen,True
Aemma_Arryn,Aemma Arryn,2,House_Arryn,House_Stark,False
Aemon_Blackfyre,Aemon Blackfyre,14,House_Blackfyre,House_Targaryen,False
Aemon_Costayne,Aemon Costayne,0,House_Costayne,House_Martell,False
Aemon_Estermont,Aemon Estermont,0,House_Estermont,House_Martell,False
Aemon_Steelsong,Aemon Steelsong,5,Free_Folk,Night's_Watch,False
Aemon_Targaryen_(son_of_Jaehaerys_I),Aemon Targaryen,3,House_Targaryen,House_Targaryen,True
Aemon_Targaryen_(son_of_Viserys_II),Aemon Targaryen,14,House_Targaryen,House_Targaryen,True
Aemon_Targaryen_(son_of_Maekar_I),Aemon Targaryen,5,House_Targaryen,Night's_Watch,False
Aemond_Targaryen,Aemond Targaryen,2,House_Targaryen,House_Stark,False
Aenys_Blackfyre,Aenys Blackfyre,14,House_Blackfyre,House_Targaryen,False
Aenys_Frey,Aenys Frey,13,House_Frey,House_Frey,True
Aenys_I_Targaryen,Aenys I Targaryen,3,House_Targaryen,House_Targaryen,True
Aerea_Targaryen,Aerea Targaryen,3,House_Targaryen,House_Targaryen,True
Aerion_Targaryen,Aerion Targaryen,14,House_Targaryen,House_Targaryen,True
Aerion_Targaryen_(son_of_Daemion),Aerion Targaryen,3,House_Targaryen,House_Targaryen,True
