source_id,target_id,karma_score
Walder_Frey,Annara_Farring,7
Walder_Frey,Joyeuse_Erenford,9
Walder_Frey,Stevron_Frey,8
Walder_Frey,Emmon_Frey,8
Walder_Frey,Aenys_Frey,8
Walder_Frey,Jared_Frey,7
Walder_Frey,Hosteen_Frey,8
Walder_Frey,Symond_Frey,7
Walder_Frey,Merrett_Frey,6
Walder_Frey,Lothar_Frey,8
Walder_Frey,Olyvar_Frey,7
Walder_Frey,Roslin_Frey,8
Walder_Frey,Elmar_Frey,7
Walder_Frey,Walder_Rivers,6
Walder_Frey,Hoster_Tully,1
Walder_Frey,Lady_Frey_(wife_of_Ambrose_Butterwell),7
Walder_Frey,Ambrose_Butterwell,5
Walder_Frey,Duncan_the_Tall,6
Walder_Frey,Tytos_Lannister,6
Walder_Frey,Genna_Lannister,7
Walder_Frey,Tywin_Lannister,8
Walder_Frey,Jon_Arryn,4
Walder_Frey,Robert_Arryn,5
Walder_Frey,Edmure_Tully,1
Walder_Frey,Catelyn_Stark,1
Walder_Frey,Tyrion_Lannister,6
Walder_Frey,Addam_Marbrand,3
Walder_Frey,Jaime_Lannister,5
Walder_Frey,Robb_Stark,1
Walder_Frey,Arya_Stark,1
Walder_Frey,Walder_Frey_(son_of_Merrett),8
Walder_Frey,Walder_Frey_(son_of_Jammos),7
Walder_Frey,Roose_Bolton,7
Walder_Frey,Walda_Frey_(daughter_of_Merrett),8
Walder_Frey,Jeyne_Westerling,1
Walder_Frey,Ryman_Frey,8
Walder_Frey,Joffrey_Baratheon,7
Walder_Frey,Petyr_Frey,6
Walder_Frey,Daven_Lannister,5
Walder_Frey,Lancel_Lannister,5
Walder_Frey,Amerei_Frey,7
Walder_Frey,Cersei_Lannister,6
Walder_Frey,Elder_Brother_(Quiet_Isle),5
Walder_Frey,Tommen_Baratheon,6
Walder_Frey,Wyman_Manderly,7
Walder_Frey,Rhaegar_Frey,7
Walder_Frey,Wynafryd_Manderly,6
Walder_Frey,Wylla_Manderly,6
Barristan_Selmy,Lyonel_Selmy,7
Barristan_Selmy,Robert_I_Baratheon,5
Barristan_Selmy,Jorah_Mormont,7
Barristan_Selmy,Gerold_Hightower,7
Barristan_Selmy,Manfred_Swann,7
Barristan_Selmy,Duncan_Targaryen,8
Barristan_Selmy,Aegon_V_Targaryen,8
Barristan_Selmy,Duncan_the_Tall,6
Barristan_Selmy,Jaehaerys_II_Targaryen,9
Barristan_Selmy,Aerys_II_Targaryen,1
Barristan_Selmy,Tywin_Lannister,1
Barristan_Selmy,Symon_Hollard,5
Barristan_Selmy,Gwayne_Gaunt,5
Barristan_Selmy,Dontos_Hollard,5
Barristan_Selmy,Jeyne_Swann,5
Barristan_Selmy,Simon_Toyne,5
Barristan_Selmy,Rhaegar_Targaryen,9
Barristan_Selmy,Ashara_Dayne,6
Barristan_Selmy,Lyanna_Stark,6
Barristan_Selmy,Jon_Connington,6
Barristan_Selmy,Jonothor_Darry,5
Barristan_Selmy,Eddard_Stark,4
Barristan_Selmy,Roose_Bolton,4
Barristan_Selmy,Rhaenys_Targaryen_(daughter_of_Rhaegar),8
Barristan_Selmy,Aegon_Targaryen_(son_of_Rhaegar),7
Barristan_Selmy,Viserys_Targaryen,2
Barristan_Selmy,Jaime_Lannister,3
Barristan_Selmy,Jeor_Mormont,7
Barristan_Selmy,Sandor_Clegane,3
Barristan_Selmy,Renly_Baratheon,3
Barristan_Selmy,Ilyn_Payne,6
Barristan_Selmy,Hugh,5
Barristan_Selmy,Gregor_Clegane,4
Barristan_Selmy,Daenerys_Targaryen,10
Barristan_Selmy,Joffrey_Baratheon,1
Barristan_Selmy,Varys,2
Barristan_Selmy,Cersei_Lannister,1
Barristan_Selmy,Janos_Slynt,2
Barristan_Selmy,Stannis_Baratheon,4
Barristan_Selmy,Robb_Stark,5
Barristan_Selmy,Tyrion_Lannister,5
Barristan_Selmy,Serwyn_of_the_Mirror_Shield,6
Barristan_Selmy,Catelyn_Stark,3
Barristan_Selmy,Illyrio_Mopatis,7
Barristan_Selmy,Belwas,8
Barristan_Selmy,Groleo,6
Barristan_Selmy,Kraznys_mo_Nakloz,5
Barristan_Selmy,Oznak_zo_Pahl,5
Barristan_Selmy,Mero,5
Barristan_Selmy,Drogo,6
Barristan_Selmy,Rhaella_Targaryen,6
Barristan_Selmy,Daario_Naharis,5
Barristan_Selmy,Xaro_Xhoan_Daxos,4
Barristan_Selmy,Grazhar_zo_Galare,6
Barristan_Selmy,Tumco_Lho,7
Barristan_Selmy,Larraq,7
Barristan_Selmy,Red_Lamb,7
Barristan_Selmy,Skahaz_mo_Kandaq,4
Barristan_Selmy,Hizdahr_zo_Loraq,4
Barristan_Selmy,Quentyn_Martell,6
Barristan_Selmy,Grey_Worm,7
Barristan_Selmy,Bloodbeard,3
Barristan_Selmy,Yurkhaz_zo_Yunzak,5
Barristan_Selmy,Jhogo,6
Barristan_Selmy,Hero,6
Barristan_Selmy,Khrazz,6
Barristan_Selmy,Galazza_Galare,6
Barristan_Selmy,Gerris_Drinkwater,6
Barristan_Selmy,Archibald_Yronwood,6
Barristan_Selmy,Tattered_Prince,6
Robb_Stark,Bran_Stark,9
Robb_Stark,Sansa_Stark,8
Robb_Stark,Jon_Snow,10
Robb_Stark,Jeyne_Westerling,10
Robb_Stark,Eddard_Stark,10
Robb_Stark,Catelyn_Stark,9
Robb_Stark,Arya_Stark,9
Robb_Stark,Theon_Greyjoy,7
Robb_Stark,Luwin,8
Robb_Stark,Mance_Rayder,3
Robb_Stark,Lord_Commander_Qorgyle,5
Robb_Stark,Tomard,4
Robb_Stark,Balon_Greyjoy,2
Robb_Stark,Rodrik_Cassel,8
Robb_Stark,Alys_Karstark,6
Robb_Stark,Rickard_Karstark,2
Robb_Stark,Jory_Cassel,8
Robb_Stark,Gared,5
Robb_Stark,Robert_I_Baratheon,5
Robb_Stark,Joffrey_Baratheon,1
Robb_Stark,Myrcella_Baratheon,5
Robb_Stark,Catspaw,2
Robb_Stark,Tyrion_Lannister,5
Robb_Stark,Yoren,6
Robb_Stark,Osha,6
Robb_Stark,Maege_Mormont,7
Robb_Stark,Medger_Cerwyn,7
Robb_Stark,Jonelle_Cerwyn,6
Robb_Stark,Halys_Hornwood,6
Robb_Stark,Roose_Bolton,1
