ID,born_raw,died_raw
A_certain_man,,
Abelar_Hightower,"the Hightower [1] , Oldtown",
Abelon,,
Addam_of_Duskendale,,
Addam_Frey,the Twins [1],
Addam_Hightower,In or before 22 BC [2],10 – 23 AC [2]
Addam_Marbrand,Ashemark [3],
Addam_Osgrey,183 AC or 184 AC [2] Standfast [3],196 AC (aged 12) Redgrass Field [1]
Addam_Rivers,,
Addam_Velaryon,114 AC [1] Hull [1],130 AC [3] Tumbleton [3]
Addam_Whitehead,,
Addison_Hill,Cornfield [1],10 – 48 AC
Adrack_Humble,Iron Islands [1],300 AC [2] Moat Cailin [2]
Adrian_Redfort,,22 th day of the 10 th moon of 130 AC Dragonstone [1]
Adrian_Tarbeck,,130 AC the riverlands
Adrian_Thorne,,
Aegon_Ambrose,,42 AC King's Landing
Aegon_Blackfyre,184 AC [1] Westeros [2],196 AC [3] Redgrass Field [4]
Aegon_Frey_(son_of_Stevron),~ 249 AC [1] The Twins [2],299 AC The Twins [3]
Aegon_Frey_(son_of_Aenys),250 – 273 AC [1],
Aegon_I_Targaryen,27 BC [4] Dragonstone [4],37 AC [5] (aged 63) [N 1] Dragonstone [5]
Aegon_II_Targaryen,107 AC King's Landing [5],131 AC (aged 24) King's Landing [5]
Aegon_III_Targaryen,120 AC [1] Dragonstone [9],157 AC [10] (aged 36) [5] King's Landing [9]
Aegon_IV_Targaryen,the 3 rd moon of 135 AC [3] King's Landing [3],early 184 AC (aged 49) [2] King's Landing
Aegon_V_Targaryen,200 AC [1] King's Landing [2],259 AC Summerhall [2]
Aegon_Targaryen_(son_of_Gaemon),114 – 80 BC [2] Dragonstone,
Aegon_Targaryen_(son_of_Aenys_I),26 AC [1],43 AC [1] Gods Eye [1]
Aegon_Targaryen_(son_of_Jaehaerys_I),51 AC King's Landing [1],51 AC King's Landing [1]
Aegon_Targaryen_(son_of_Baelon),84 AC [1],85 AC [1]
Aegon_Targaryen_(son_of_Aerys_II),272 AC [1],273 AC [1]
Aegon_Targaryen_(son_of_Rhaegar),"late 281 AC or early 282 AC [2] Dragonstone , the crownlands","283 AC (aged 1) (supposedly) Maegor's Holdfast , King's Landing [N 1]"
Aegor_Rivers,172 AC [3] King's Landing [4],241 AC [3] (aged 69) [5] Disputed Lands
Aelinor_Penrose,Parchments [1],
Aelor_Targaryen,195 – 209 AC [1],217 AC [2]
Aelora_Targaryen,195 – 209 AC [1],217 – 221 AC [1]
Aelyx_Targaryen,89 – 55 BC [1] Dragonstone,
Aemma_Arryn,82 AC the Eyrie [2],105 AC King's Landing [1]
Aemon_Blackfyre,184 AC [1] Westeros [2],196 AC [3] Redgrass Field
Aemon_Costayne,,
Aemon_Estermont,,
Aemon_Rivers,,
Aemon_Steelsong,300 AC near Castle Black,
Aemon_Targaryen_(son_of_Jaehaerys_I),55 AC [1] Dragonstone,92 AC [2] (aged 37) [3] Tarth
Aemon_Targaryen_(son_of_Viserys_II),"136 AC [1] Red Keep , King's Landing [2]",178 – 183 AC [3]
Aemon_Targaryen_(son_of_Maekar_I),198 AC [4] [5] King's Landing [4],"300 AC (aged 102) [1] the Cinnamon Wind , off the coast of Dorne , in the Summer Sea"
Aemond_Targaryen,110 AC,22 nd day of the 5 th moon of 130 AC (aged 20) the Gods Eye
Aenys_Blackfyre,191 – 194 AC [1],233 AC King's Landing
Aenys_Frey,238 – 248 AC [1] the Twins [2],300 AC near Winterfell
Aenys_I_Targaryen,7 AC [1] Dragonstone [3],42 AC [4] (aged 35) [2] Dragonstone [2]
Aerea_Targaryen,42 AC [1] Casterly Rock [1],56 AC King's Landing
Aerion_Targaryen,191 – 194 AC [7],232 AC [4]
Aerion_Targaryen_(son_of_Daemion),75 – 41 BC [2] Dragonstone [3],27 – 2 BC [2] Dragonstone [3]
Aeron_Greyjoy,269 – 273 AC [1] Pyke [2],
Aerys_Targaryen_(son_of_Aegon),101 – 67 BC [2] Dragonstone,
Aerys_I_Targaryen,172 – 177 AC [1] King's Landing,221 AC
Aerys_II_Targaryen,"244 AC [9] Red Keep , King's Landing [3]","283 AC [3] Great Hall , King's Landing"
Aerys_II_Targaryen's_last_mistress,,"274 AC or 275 AC Red Keep , King's Landing"
Aethan,,
Aethan_Velaryon,In or before 11 BC [2],42 – 47 AC [2]
Aethelmure,,
Aggar,,299 AC Winterfell
Aggo,,
Aglantine,,
Agnes_Blackwood,,Century of Blood [1] Riverlands [1]
Agramore_Cobb,,
Agrivane,,
Aladale_Wynch,,late 299 AC or early 300 AC Bridge of Skulls
Aladore_Florent,,
Alan_o'_the_Oak,Age of Heroes,
Alan_of_Rosby,Rosby,
Alan_Beesbury,73 – 114 AC [2],
Alan_Tarly,,
Alannys_Harlaw,Harlaw [4],
Alaric_of_Eysen,,
Alaric_Stark,,72 AC [2]
Alarra_Massey,,
Alarra_Stark,,
Alastor_Reyne,,
Alayaya,282 AC or 283 AC [1] King's Landing [2],
Alayne_Baelish,,
Alayne_Royce,,54 AC [1] Dragonstone [1]
Albar_Royce,,
Albett,,
Albin_Manwoody,,
Albin_Massey,,59 AC King's Landing [2]
Alchemist,,
Alebelly,North [1],299 AC Winterfell
Alec_Hunter,,
Alekyne_Florent,In or before 270 AC [1],
Alequo_Adarys,,266 AC [1]
Alerie_Hightower,257 – 264 AC [1] Oldtown [2],
Alesander_Frey,263 – 281 AC [1],
Alesander_Staedmon,,
Alesandor_Torrent,,
Alester_II_Arryn,,
Alester_Florent,Brightwater Keep [4],300 AC Dragonstone [5]
Alester_Norcross,290 AC or 291 AC [1],
Alester_Oakheart,,Prince's Pass [1]
Alester_Wynch,,133 AC Faircastle [1]
Alf_of_Runnymudd,Runnymudd,
Alfador,,
Alford,,
Alfred_Broome,,131 AC [1] King's Landing [1]
Alfyn_Crowkiller,,299 AC [1] Beyond the Wall [1]
Alfyn_(septon),,54 – 59 AC [1]
Alia,,
Aliandra_Martell,115 AC [2],136 – 158 AC [2]
Alicent_Hightower,88 AC [2],133 AC [3] King's Landing
Alios_Qhaedar,,
All-for-Joffrey,,299 AC Harrenhal
Alla_Tyrell,286 AC (roughly) [1] Reach [2],
Allaquo,,
Allar,,101 AC King's Landing
Allar_Deem,Westeros [1],299 AC the narrow sea
Allard_Royce,,
Allard_Seaworth,Westeros [1],299 AC Blackwater Bay
Alleras,Dorne [2],
Alliser_Thorne,247 AC or 248 AC [1] Crownlands [2],
Allyria_Dayne,Dorne [1],
Alton_Beesbury,,
Alton_Butterwell,,
Alton_Celtigar,,17 AC [1]
Alton_Greyjoy,,
Alvyn_Sharp,,
Alyce,,
Alyce_Graceford,,
Alyn,North [2],late 298 AC or early 299 AC the riverlands
Red_Alyn_of_the_Rosewood,the Rosewood,300 AC Castle Black
Sour_Alyn,North [1],
Alyn_Ambrose,,
Alyn_Ashford,,
Alyn_Blackwood,288 – 291 AC [1],
Alyn_Bullock,In or before 33 AC [2],
Alyn_Cockshaw,around 189 AC Westeros [2],212 AC [1] Whitewalls [1]
Alyn_Connington,,
Alyn_Estermont,,
Alyn_Frey,295 AC or 296 AC [1],
Alyn_Garner,,
Alyn_Haigh,253 – 291 AC [1],
Alyn_Hunt,,
Alyn_Marbrand,,
Alyn_Orkwood,,
Alyn_Stackspear,,
Alyn_Stokeworth,,37 AC west of the Gods Eye [1]
Alyn_Tarbeck,,43 AC [1] the Gods Eye [1]
Alyn_Terrick,,
Alyn_Velaryon,"115 AC [1] Hull , Driftmark",171 – 176 AC [8] at sea
Alynne_Connington,,
Alys_Arryn,~ 219 – 251 AC [1],
Alys_Arryn_(wife_of_Rhaegel),~ 144 – 197 AC [1],In or after 196 AC [1]
Alys_Beesbury,,
Alys_Frey,,261 – 298 AC [1]
Alys_Harroway,,44 AC [2] [1] King's Landing
Alys_Karstark,284 AC or 285 AC [1] Karhold [2],
Alys_Karstark_(wife_of_Brandon),In or before 183 AC [1],In or after 173 AC [1]
Alys_Oakheart,,
