ID,year,source,era
A_certain_man,,unknown,Unknown
Abelar_Hightower,,unknown,Unknown
Abelon,,unknown,Unknown
Addam_of_Duskendale,,unknown,Unknown
Addam_Frey,,unknown,Unknown
Addam_Hightower,23.0,died,Targaryen Conquest
Addam_Marbrand,300.0,event:War of the Five Kings,ASOIAF main
Addam_Osgrey,196.0,died,Fire & Blood
Addam_Rivers,,unknown,Unknown
Addam_Velaryon,130.0,died,Fire & Blood
Addam_Whitehead,,unknown,Unknown
Addison_Hill,48.0,died,Targaryen Conquest
Adrack_Humble,300.0,died,ASOIAF main
Adrian_Redfort,130.0,died,Fire & Blood
Adrian_Tarbeck,130.0,died,Fire & Blood
Adrian_Thorne,,unknown,Unknown
Aegon_Ambrose,42.0,died,Targaryen Conquest
Aegon_Blackfyre,196.0,died,Fire & Blood
Aegon_Frey_(son_of_Stevron),299.0,died,ASOIAF main
Aegon_Frey_(son_of_Aenys),303.0,born+30,ASOIAF main
Aegon_I_Targaryen,37.0,died,Targaryen Conquest
Aegon_II_Targaryen,131.0,died,Fire & Blood
Aegon_III_Targaryen,157.0,died,Fire & Blood
Aegon_IV_Targaryen,184.0,died,Fire & Blood
Aegon_V_Targaryen,259.0,died,Late Targaryen
Aegon_Targaryen_(son_of_Gaemon),-50.0,born+30,Pre-Conquest
Aegon_Targaryen_(son_of_Aenys_I),43.0,died,Targaryen Conquest
Aegon_Targaryen_(son_of_Jaehaerys_I),51.0,died,Fire & Blood
Aegon_Targaryen_(son_of_Baelon),85.0,died,Fire & Blood
Aegon_Targaryen_(son_of_Aerys_II),273.0,died,Late Targaryen
Aegon_Targaryen_(son_of_Rhaegar),283.0,died,Robert's Reign
Aegor_Rivers,241.0,died,Mid-Targaryen
Aelinor_Penrose,,unknown,Unknown
Aelor_Targaryen,217.0,died,Mid-Targaryen
Aelora_Targaryen,221.0,died,Mid-Targaryen
Aelyx_Targaryen,-25.0,born+30,Pre-Conquest
Aemma_Arryn,105.0,died,Fire & Blood
Aemon_Blackfyre,196.0,died,Fire & Blood
Aemon_Costayne,,unknown,Unknown
Aemon_Estermont,300.0,event:War of the Five Kings,ASOIAF main
Aemon_Rivers,,unknown,Unknown
Aemon_Steelsong,330.0,born+30,Unknown
Aemon_Targaryen_(son_of_Jaehaerys_I),92.0,died,Fire & Blood
Aemon_Targaryen_(son_of_Viserys_II),183.0,died,Fire & Blood
Aemon_Targaryen_(son_of_Maekar_I),300.0,died,ASOIAF main
Aemond_Targaryen,130.0,died,Fire & Blood
Aenys_Blackfyre,233.0,died,Mid-Targaryen
Aenys_Frey,300.0,died,ASOIAF main
Aenys_I_Targaryen,42.0,died,Targaryen Conquest
Aerea_Targaryen,56.0,died,Fire & Blood
Aerion_Targaryen,232.0,died,Mid-Targaryen
Aerion_Targaryen_(son_of_Daemion),-2.0,died,Pre-Conquest
Aeron_Greyjoy,303.0,born+30,ASOIAF main
Aerys_Targaryen_(son_of_Aegon),-37.0,born+30,Pre-Conquest
Aerys_I_Targaryen,221.0,died,Mid-Targaryen
Aerys_II_Targaryen,283.0,died,Robert's Reign
Aerys_II_Targaryen's_last_mistress,274.0,died,Late Targaryen
Aethan,,unknown,Unknown
Aethan_Velaryon,47.0,died,Targaryen Conquest
Aethelmure,,unknown,Unknown
Aggar,299.0,died,ASOIAF main
Aggo,,unknown,Unknown
Aglantine,,unknown,Unknown
Agnes_Blackwood,,unknown,Unknown
Agramore_Cobb,,unknown,Unknown
Agrivane,,unknown,Unknown
Aladale_Wynch,299.0,died,ASOIAF main
Aladore_Florent,,unknown,Unknown
Alan_o'_the_Oak,,unknown,Unknown
Alan_of_Rosby,,unknown,Unknown
Alan_Beesbury,144.0,born+30,Fire & Blood
Alan_Tarly,130.0,event:Dance of the Dragons,Fire & Blood
Alannys_Harlaw,,unknown,Unknown
Alaric_of_Eysen,,unknown,Unknown
Alaric_Stark,72.0,died,Fire & Blood
Alarra_Massey,,unknown,Unknown
Alarra_Stark,,unknown,Unknown
Alastor_Reyne,,unknown,Unknown
Alayaya,312.0,born+30,Unknown
Alayne_Baelish,,unknown,Unknown
Alayne_Royce,54.0,died,Fire & Blood
Albar_Royce,,unknown,Unknown
Albett,,unknown,Unknown
Albin_Manwoody,,unknown,Unknown
Albin_Massey,59.0,died,Fire & Blood
Alchemist,,unknown,Unknown
Alebelly,299.0,died,ASOIAF main
Alec_Hunter,,unknown,Unknown
Alekyne_Florent,300.0,born+30,ASOIAF main
Alequo_Adarys,266.0,died,Late Targaryen
Alerie_Hightower,294.0,born+30,Robert's Reign
Alesander_Frey,311.0,born+30,Unknown
Alesander_Staedmon,,unknown,Unknown
Alesandor_Torrent,,unknown,Unknown
Alester_II_Arryn,,unknown,Unknown
Alester_Florent,300.0,died,ASOIAF main
Alester_Norcross,320.0,born+30,Unknown
Alester_Oakheart,,unknown,Unknown
Alester_Wynch,133.0,died,Fire & Blood
Alf_of_Runnymudd,,unknown,Unknown
Alfador,,unknown,Unknown
Alford,,unknown,Unknown
Alfred_Broome,131.0,died,Fire & Blood
Alfyn_Crowkiller,299.0,died,ASOIAF main
Alfyn_(septon),59.0,died,Fire & Blood
Alia,,unknown,Unknown
Aliandra_Martell,158.0,died,Fire & Blood
Alicent_Hightower,133.0,died,Fire & Blood
Alios_Qhaedar,,unknown,Unknown
All-for-Joffrey,299.0,died,ASOIAF main
Alla_Tyrell,316.0,born+30,Unknown
Allaquo,,unknown,Unknown
Allar,101.0,died,Fire & Blood
Allar_Deem,299.0,died,ASOIAF main
Allard_Royce,,unknown,Unknown
Allard_Seaworth,299.0,died,ASOIAF main
Alleras,,unknown,Unknown
Alliser_Thorne,277.0,born+30,Late Targaryen
Allyria_Dayne,,unknown,Unknown
Alton_Beesbury,,unknown,Unknown
Alton_Butterwell,,unknown,Unknown
Alton_Celtigar,17.0,died,Targaryen Conquest
Alton_Greyjoy,,unknown,Unknown
Alvyn_Sharp,,unknown,Unknown
Alyce,,unknown,Unknown
Alyce_Graceford,,unknown,Unknown
Alyn,298.0,died,ASOIAF main
Red_Alyn_of_the_Rosewood,300.0,died,ASOIAF main
Sour_Alyn,,unknown,Unknown
Alyn_Ambrose,,unknown,Unknown
Alyn_Ashford,,unknown,Unknown
Alyn_Blackwood,321.0,born+30,Unknown
Alyn_Bullock,63.0,born+30,Fire & Blood
Alyn_Cockshaw,212.0,died,Mid-Targaryen
Alyn_Connington,,unknown,Unknown
Alyn_Estermont,300.0,event:War of the Five Kings,ASOIAF main
Alyn_Frey,325.0,born+30,Unknown
Alyn_Garner,,unknown,Unknown
Alyn_Haigh,321.0,born+30,Unknown
Alyn_Hunt,,unknown,Unknown
Alyn_Marbrand,,unknown,Unknown
Alyn_Orkwood,,unknown,Unknown
Alyn_Stackspear,,unknown,Unknown
Alyn_Stokeworth,37.0,died,Targaryen Conquest
Alyn_Tarbeck,43.0,died,Targaryen Conquest
Alyn_Terrick,45.0,event:Faith Militant,Targaryen Conquest
Alyn_Velaryon,176.0,died,Fire & Blood
Alynne_Connington,,unknown,Unknown
Alys_Arryn,281.0,born+30,Late Targaryen
Alys_Arryn_(wife_of_Rhaegel),196.0,died,Fire & Blood
Alys_Beesbury,,unknown,Unknown
