name,ID,quote,speaker_id,recipient_id
A certain man,A_certain_man,"Tyrion: Dwarfs are a jape of the gods... but men make eunuchs. Who cut you, Varys? When and why? Who are you, truly? Varys: You are kind to ask, my lord, but my tale is long and sad, and we have treasons to discuss.",Tyrion_Lannister,Varys
A certain man,A_certain_man,"I still dream of that night, my lord. Not of the sorcerer, nor his blade, nor even the way my manhood shriveled as it burned. I dream of the voice. The voice from the flames. Was it a god, a demon, some conjurer's trick? I could not tell you, and I know all the tricks. All I can say for a certainty is that he called it, and it answered, and since that day I have hated magic and all those who practice it. If Lord Stannis_Baratheon is one such, I mean to see him dead.",Varys,Tyrion_Lannister
Addam Marbrand,Addam_Marbrand,"Harys: How could it happen? Ser Jaime_Lannister taken, the siege broken ... this is a catastrophe! Addam: I am sure we are all grateful to you for pointing out the obvious, Ser Harys.",Harys_Swyft,
Addam Marbrand,Addam_Marbrand,Two battles do not make a war. We are far from lost. I should welcome the chance to try my own steel against Robb_Stark.,Tyrion_Lannister,
Addam Marbrand,Addam_Marbrand,"Addam: Storming the walls will be a bloody business. I propose we wait for a moonless night and send a dozen picked men across the river in a boat with muffled oars. They can scale the walls with ropes and grapnels, and open the gates from the inside. I will lead them, if the council wishes. Walder: Folly. Ser Brynden_Tully is no man to be cozened by such tricks.",Walder_Rivers,
Addam Marbrand,Addam_Marbrand,"Weese said he was a great horseman and sword fighter, Lord Tywin_Lannister's most daring commander.",Arya_Stark,
Addam Marbrand,Addam_Marbrand,"Ser Addam Marbrand was a shrewd choice. Like Jaime_Lannister, he was the sort of man other men liked to follow.",Tyrion_Lannister,
Addam Marbrand,Addam_Marbrand,Another good man who thinks me a kinslayer.,Tyrion_Lannister,
Addam Osgrey,Addam_Osgrey,"They died good deaths, fighting bravely for Daemon_I_Blackfyre, and I brought them home and buried them among the blackberries.",Eustace_Osgrey,Duncan_the_Tall
Addam Osgrey,Addam_Osgrey,"Duncan: Ser Eustace_Osgrey told me Rohanne_Webber was fond of the boy. Sefton: Fond? She loved the boy, and him her. It never went beyond a kiss or two, but... it was Addam she wept for after the Redgrass Field, not the husband she hardly knew. She blames Ser Eustace for his death, and rightly so. The boy was twelve.",Duncan_the_Tall,Sefton_Staunton
Addam Osgrey,Addam_Osgrey,"I scarce remember Addam any longer. It was more than half my life ago. I remember that I loved him, though. I have not loved any of the others.",Rohanne_Webber,Duncan_the_Tall
Addam Velaryon,Addam_Velaryon,"That Addam and Alyn_Velaryon were dragonseed no man who looked upon them could doubt, though Marilda_of_Hull steadfastly refused to name their father.",Gyldayn,
Addam Velaryon,Addam_Velaryon,"Question him sharply, and we will learn if he is true or false, beyond a doubt.",Rhaenyra_Targaryen,Luthor_Largent
Aegon Blackfyre,Aegon_Blackfyre,"The Raven's Teeth had gained the top of Weeping Ridge, and Brynden_Rivers saw his half brother's royal standard three hundred yards away, and Daemon_I_Blackfyre and his sons beneath it. He slew Aegon first, the elder of the twins, for he knew that Daemon would never leave the boy whilst warmth lingered in his body, though white shafts fell like rain.",Eustace_Osgrey,Duncan_the_Tall
Aegon Blackfyre,Aegon_Blackfyre,"Aegon and Aemon_Blackfyre. Wretched witless bullies, just like you. When we were little, they took pleasure in tormenting me and Daemon_II_Blackfyre both.",Alyn_Cockshaw,Duncan_the_Tall
Aegon Blackfyre,Aegon_Blackfyre,"I dreamed it. This pale white castle, you, a dragon bursting from an egg, I dreamed it all, just as I once dreamed of my brothers lying dead. They were twelve and I was only seven, so they laughed at me, and died. I am two-and-twenty now, and I trust my dreams.",Daemon_II_Blackfyre,Duncan_the_Tall
Aegon Frey,Aegon_Frey_(son_of_Stevron),"Did he always wear a fool's crown, or is that meant as mockery of Robb_Stark?",Catelyn_Stark,
Aegon Frey,Aegon_Frey_(son_of_Stevron),"Walder: Sire, forgive my Aegon the noise. He has less wits than a crannogman, and he's never met a king before. One of Stevron_Frey boys. We call him Jinglebell. Robb: Ser Stevron mentioned him, my lord. Well met, Aegon. Your father was a brave man.",Walder_Frey,Robb_Stark
Aegon Frey,Aegon_Frey_(son_of_Stevron),"Catelyn: On my honor as a Tully, on my honor as a Stark, I will trade your boy's life for Robb_Stark. A son for a son. Walder: A son for a son, heh. But that's a grandson ... and he never was much use.",Catelyn_Stark,Walder_Frey
Aegon Frey,Aegon_Frey_(son_of_Stevron),"Aegon, we called him Jinglebell, a poor lackwit never hurt anyone, Lady Catelyn_Stark cut his throat.",Merrett_Frey,Lem
Aegon Frey,Aegon_Frey_(son_of_Stevron),"The Red Wedding was Robb_Stark work. He changed into a beast before our eyes and tore out the throat of my cousin Jinglebell, a harmless simpleton.",Jared_Frey,Wyman_Manderly
Aegon I Targaryen,Aegon_I_Targaryen,"When the sun sets, your line shall end.",Harren_Hoare,
Aegon I Targaryen,Aegon_I_Targaryen,A king should never sit easy.,,
Aegon I Targaryen,Aegon_I_Targaryen,"On the seventh day, a cloud of ravens burst from the towers of Dragonstone to bring Lord Aegon's word to the Seven Kingdoms of Westeros. To the seven kings they flew, to the Citadel of Oldtown, to lords both great and small. All carried the same message: from this day forth there would be but one king in Westeros. Those who bent the knee to Aegon of House Targaryen would keep their lands and titles. Those who took up arms against him would be thrown down, humbled, and destroyed.",Gyldayn,
Aegon I Targaryen,Aegon_I_Targaryen,"Aegon the Conqueror brought fire and blood to Westeros, but afterward he gave them peace, prosperity, and justice.",Daenerys_Targaryen,
Aegon I Targaryen,Aegon_I_Targaryen,"Aegon once stood here as I do, looking down on this table. Do you think we would name him Aegon the Conqueror today if he had not had dragons?",Stannis_Baratheon,Davos_Seaworth
Aegon II Targaryen,Aegon_II_Targaryen,"Thrones are won with swords, not quills. Spill blood, not ink.",Otto_Hightower,
Aegon II Targaryen,Aegon_II_Targaryen,"Rhaenyra: Dear brother. I had hoped you were dead. Aegon: After you. You are the elder. Rhaenyra: I am pleased to know that you remember that. It would seem we are your prisoners ... but do not think that you will hold us long. My leal lords will find me. Aegon: If they search the seven hells, mayhaps.",Rhaenyra_Targaryen,
Aegon II Targaryen,Aegon_II_Targaryen,"Let the ravens fly that the realm may know Rhaenyra_Targaryen is dead, and their true king is coming home to reclaim Viserys_I_Targaryen throne.",Rhaenyra_Targaryen,
Aegon III Targaryen,Aegon_III_Targaryen,"Mother, flee!",Rhaenyra_Targaryen,
Aegon III Targaryen,Aegon_III_Targaryen,Get that wretched creature out of my sight.,Rhaena_Targaryen_(daughter_of_Aegon_III),
